Time|s,DOAScon.supFanStart,testBed.returnairtemp,testBed.outdoorairtemp,DOAScon.TSupSetpt.supPrimSP
1.6848e+07,0,293.15,308.15,294.15
1.68486e+07,0,293.22784,307.96667,294.15
1.68492e+07,0,293.22784,307.78333,294.15
1.68498e+07,0,293.22784,307.6,294.15
1.68504e+07,0,293.22784,307.41666,294.15
1.6851e+07,0,293.22784,307.23334,294.15
1.68516e+07,0,293.22784,307.05,294.15
1.68522e+07,0,293.22784,306.86667,294.15
1.68528e+07,0,293.22784,306.68332,294.15
1.68534e+07,0,293.22784,306.5,294.15
1.6854e+07,0,293.22784,306.31668,294.15
1.68546e+07,0,293.22784,306.13333,294.15
1.68552e+07,0,293.22784,305.95,294.08124
1.68558e+07,0,293.22784,305.7974,293.98322
1.68564e+07,0,293.22784,305.69275,293.904
1.6857e+07,0,293.22784,305.6159,293.843
1.68576e+07,0,293.22784,305.54663,293.79968
1.68582e+07,0,293.22784,305.46472,293.77368
1.68588e+07,0,293.22784,305.35,293.7641
1.68594e+07,0,293.22784,305.18665,293.77185
1.686e+07,0,293.22784,304.9867,293.79645
1.68606e+07,0,293.22784,304.77158,293.8408
1.68612e+07,0,293.22784,304.5628,293.8976
1.68618e+07,0,293.22784,304.38177,293.95285
1.68624e+07,0,293.22784,304.25,294.0054
1.6863e+07,0,293.22784,304.15625,294.0555
1.68636e+07,0,293.22784,304.07224,294.10336
1.68642e+07,0,293.22784,303.99374,294.149
1.68648e+07,0,293.22784,303.91666,294.15
1.68654e+07,0,293.22784,303.8368,294.15
1.6866e+07,0,293.22784,303.75,294.15
1.68666e+07,0,293.22784,303.65518,294.15
1.68672e+07,0,293.22784,303.55548,294.15
1.68678e+07,0,293.22784,303.453,294.15
1.68684e+07,0,293.22784,303.34985,294.15
1.6869e+07,0,293.22784,303.24814,294.15
1.68696e+07,0,293.22784,303.15,294.15
1.68702e+07,0,293.22784,303.0581,293.50357
1.68708e+07,0,293.22784,302.9835,292.52365
1.68714e+07,0,293.22784,302.94077,291.3703
1.6872e+07,0,293.22784,302.94452,291.15
1.68726e+07,0,293.22784,303.0094,291.15
1.68732e+07,0,293.22784,303.15,291.15
1.68738e+07,0,293.22784,303.3801,291.15
1.68744e+07,0,293.22784,303.69073,291.15
1.6875e+07,0,293.22784,304.0625,291.15
1.68756e+07,0,293.22784,304.47592,291.15
1.68762e+07,0,293.22784,304.91156,291.15
1.68768e+07,1,293.22784,305.35,291.15
1.68774e+07,1,294.63995,305.8074,291.15
1.6878e+07,1,294.91782,306.29816,291.15
1.68786e+07,1,294.7132,306.8,291.15
1.68792e+07,1,294.5364,307.29074,291.15
1.68798e+07,1,294.5109,307.74814,291.15
1.68804e+07,1,294.5762,308.15,291.15
1.6881e+07,1,294.6886,308.4854,291.15
1.68816e+07,1,294.70972,308.77222,291.15
1.68822e+07,1,294.64673,309.03125,291.15
1.68828e+07,1,294.66455,309.28333,291.15
1.68834e+07,1,294.74216,309.54932,291.15
1.6884e+07,1,294.75702,309.85,291.15
1.68846e+07,1,294.7623,310.19568,291.15
1.68852e+07,1,294.80463,310.57175,291.15
1.68858e+07,1,294.84146,310.96173,291.15
1.68864e+07,1,294.8101,311.34906,291.15
1.6887e+07,1,294.8355,311.71735,291.15
1.68876e+07,1,294.8994,312.05,291.15
1.68882e+07,1,294.89047,312.30814,291.15
1.68888e+07,1,294.8827,312.48798,291.15
1.68894e+07,1,294.90826,312.6258,291.15
1.689e+07,1,294.92642,312.75787,291.15
1.68906e+07,1,294.9262,312.9205,291.15
1.68912e+07,1,294.9128,313.15,291.15
1.68918e+07,1,294.9341,313.46338,291.15
1.68924e+07,1,294.9561,313.83505,291.15
1.6893e+07,1,294.94754,314.23727,291.15
1.68936e+07,1,294.9419,314.6423,291.15
1.68942e+07,1,294.9593,315.02246,291.15
1.68948e+07,1,294.9711,315.35,291.15
1.68954e+07,1,294.9627,315.62387,291.15
1.6896e+07,1,294.96024,315.8615,291.15
1.68966e+07,1,294.9731,316.06296,291.15
1.68972e+07,1,294.9794,316.22818,291.15
1.68978e+07,1,294.97324,316.3572,291.15
1.68984e+07,1,294.97357,316.45,291.15
1.6899e+07,1,294.98282,316.46082,291.15
1.68996e+07,1,294.98547,316.3739,291.15
1.69002e+07,1,294.98154,316.2343,291.15
1.69008e+07,1,294.9832,316.0871,291.15
1.69014e+07,1,294.9892,315.9773,291.15
1.6902e+07,1,294.98984,315.95,291.15
1.69026e+07,1,294.98886,316.0563,291.15
1.69032e+07,1,294.99313,316.276,291.15
1.69038e+07,1,294.99683,316.54718,291.15
1.69044e+07,1,294.99695,316.80786,291.15
1.6905e+07,1,295.00064,316.99612,291.15
1.69056e+07,1,295.01056,317.05,291.15
1.69062e+07,1,295.01743,316.95343,291.15
1.69068e+07,1,295.02167,316.7618,291.15
1.69074e+07,1,295.02444,316.52036,291.15
1.6908e+07,1,295.0342,316.2744,291.15
1.69086e+07,1,295.0389,316.0692,291.15
1.69092e+07,1,295.0426,315.95,291.15
1.69098e+07,1,295.04657,315.933,291.15
1.69104e+07,1,295.05328,315.97717,291.15
1.6911e+07,1,295.0555,316.04166,291.15
1.69116e+07,1,295.0568,316.08582,291.15
1.69122e+07,1,295.0578,316.06882,291.15
1.69128e+07,1,295.05954,315.95,291.15
1.69134e+07,1,295.05725,315.76666,291.15
1.6914e+07,1,295.05475,315.58334,291.15
1.69146e+07,1,295.0543,315.4,291.15
1.69152e+07,1,295.04968,315.21667,291.15
1.69158e+07,1,295.04254,315.03333,291.15
1.69164e+07,1,295.0346,314.85,291.15
1.6917e+07,1,295.02292,314.66666,291.15
1.69176e+07,1,295.01563,314.48334,291.15
1.69182e+07,1,295.0073,314.3,291.15
1.69188e+07,1,294.98996,314.11667,291.15
1.69194e+07,1,294.97708,313.93332,291.15
1.692e+07,1,294.9738,313.75,291.15
1.69206e+07,1,294.966,313.52222,291.15
1.69212e+07,1,294.95483,313.22778,291.15
1.69218e+07,1,294.94623,312.9,291.15
1.69224e+07,1,294.9397,312.57224,291.15
1.6923e+07,1,294.92346,312.27777,291.15
1.69236e+07,0,294.89908,312.05,291.15
1.69242e+07,0,294.89944,311.86667,291.15
1.69248e+07,0,294.89944,311.68332,291.15
1.69254e+07,0,294.89944,311.5,291.15
1.6926e+07,0,294.89944,311.31668,291.15
1.69266e+07,0,294.89944,311.13333,291.15
1.69272e+07,0,294.89944,310.95,291.15
1.69278e+07,0,294.89944,310.76666,291.15
1.69284e+07,0,294.89944,310.58334,291.15
1.6929e+07,0,294.89944,310.4,291.15
1.69296e+07,0,294.89944,310.21667,291.15
1.69302e+07,0,294.89944,310.03333,291.15
1.69308e+07,0,294.89944,309.85,291.15
1.69314e+07,0,294.89944,309.66666,291.15
1.6932e+07,0,294.89944,309.48334,291.15
1.69326e+07,0,294.89944,309.3,291.15
1.69332e+07,0,294.89935,309.11667,291.15
1.69338e+07,0,294.89935,308.93332,291.15
1.69344e+07,0,294.89938,308.75,291.15
